idedomun,nommun,alcohol2001,alcohol2002,alcohol2003,alcohol2004,alcohol2005,alcohol2006,alcohol2007,alcohol2008,alcohol2009,dico2001,dico2009
1001,Aguascalientes,275,256,278,242,250,267,284,275,321,1,1
1002,Asientos,12,10,5,2,3,6,5,3,9,1,1
1003,Calvillo,7,6,2,11,3,6,4,5,6,1,1
1004,Cosío,5,2,0,1,3,0,2,1,1,1,1
1005,Jesús María,18,15,13,6,8,7,7,2,11,1,1
1006,Pabellón de Arteaga,8,2,8,5,3,9,8,7,6,1,1
1007,Rincón de Romos,12,7,2,9,6,5,7,6,7,1,1
1008,San José de Gracia,5,3,0,0,0,0,1,0,0,1,0
1009,Tepezalá,3,2,1,1,2,0,1,1,0,1,0
1010,El Llano,6,1,4,0,4,3,4,1,4,1,1
1011,San Francisco de los Romo,1,3,4,1,5,3,9,1,3,1,1
2001,Ensenada,4,9,4,8,1,1,5,3,1,1,1
2002,Mexicali,6,6,8,6,6,5,6,10,11,1,1
2003,Tecate,19,14,14,17,5,4,9,9,2,1,1
2004,Tijuana,10,7,2,2,5,0,3,3,3,1,1
2005,Playas de Rosarito,0,0,0,0,0,0,1,0,1,0,1
3001,Comondú,2,5,2,0,1,2,0,0,0,1,0
3002,Mulegé,3,5,4,0,4,2,1,1,2,1,1
3003,La Paz,27,22,20,24,17,21,24,17,23,1,1
3008,Los Cabos,5,2,9,9,2,5,0,0,3,1,1
3009,Loreto,0,0,0,0,0,0,0,0,0,0,0
4001,Calkiní,0,1,0,0,0,3,4,10,1,0,1
4002,Campeche,24,22,44,51,29,19,17,18,9,1,1
4003,Carmen,12,13,6,12,16,7,7,3,8,1,1
4004,Champotón,23,8,16,12,14,8,5,8,7,1,1
4005,Hecelchakán,0,1,0,2,2,2,0,1,0,0,0
4006,Hopelchén,0,3,2,0,1,3,3,2,0,0,0
4007,Palizada,0,0,0,0,0,0,0,0,0,0,0
4008,Tenabo,0,1,1,0,0,1,2,1,0,0,0
4009,Escárcega,2,1,5,3,6,3,4,2,2,1,1
4010,Calakmul,0,0,0,0,0,1,5,1,0,0,0
4011,Candelaria,3,0,0,2,6,2,2,2,8,1,1
5001,Abasolo,0,0,0,0,0,0,0,0,0,0,0
5002,Acuña,2,1,1,0,2,1,3,3,1,1,1
5003,Allende,1,1,0,1,0,0,1,1,0,1,0
5004,Arteaga,0,0,0,0,0,0,0,0,0,0,0
5005,Candela,0,0,0,0,0,1,0,0,0,0,0
5006,Castaños,0,0,0,0,0,0,0,0,0,0,0
5007,Cuatro Ciénegas,0,1,0,0,0,3,1,0,0,0,0
5008,Escobedo,0,0,0,0,0,0,0,0,0,0,0
5009,Francisco I. Madero,0,0,0,0,0,1,0,0,0,0,0
5010,Frontera,0,0,0,0,0,0,0,0,0,0,0
5011,General Cepeda,7,12,4,2,2,1,3,0,0,1,0
5012,Guerrero,0,0,0,0,0,0,0,0,0,0,0
5013,Hidalgo,0,0,0,0,0,0,0,0,0,0,0
5014,Jiménez,0,0,0,0,0,0,0,0,0,0,0
5015,Juárez,0,0,0,0,0,0,0,0,0,0,0
5016,Lamadrid,0,0,0,0,0,0,0,0,0,0,0
5017,Matamoros,8,4,6,3,1,1,4,2,0,1,0
5018,Monclova,2,0,0,0,0,1,0,1,2,1,1
5019,Morelos,0,0,0,0,0,0,0,0,0,0,0
5020,Múzquiz,6,13,3,5,4,8,5,14,12,1,1
5021,Nadadores,0,0,0,0,0,0,0,0,0,0,0
5022,Nava,0,0,0,1,0,0,0,0,0,0,0
5023,Ocampo,0,0,0,0,0,0,0,0,0,0,0
5024,Parras,36,20,27,17,6,14,13,24,13,1,1
5025,Piedras Negras,3,5,4,4,7,0,0,1,4,1,1
