idedomun;IDH_ingpc;;;;;;;;;;;;;;;;;;
1001;17848;;;;;;;;;;;;;;;;;;
1002;6877;;;;;;;;;;;;;;;;;;
1003;8765;;;;;;;;;;;;;;;;;;
1004;9123;;;;;;;;;;;;;;;;;;
1005;12156;;;;;;;;;;;;;;;;;;
1006;12557;;;;;;;;;;;;;;;;;;
1007;10907;;;;;;;;;;;;;;;;;;
1008;9258;;;;;;;;;;;;;;;;;;
1009;8264;;;;;;;;;;;;;;;;;;
1010;7582;;;;;;;;;;;;;;;;;;
1011;11284;;;;;;;;;;;;;;;;;;
2001;16374;;;;;;;;;;;;;;;;;;
2002;18260;;;;;;;;;;;;;;;;;;
2003;22169;;;;;;;;;;;;;;;;;;
2004;18519;;;;;;;;;;;;;;;;;;
2005;18532;;;;;;;;;;;;;;;;;;
3001;13762;;;;;;;;;;;;;;;;;;
3002;13474;;;;;;;;;;;;;;;;;;
3003;21874;;;;;;;;;;;;;;;;;;
3008;23369;;;;;;;;;;;;;;;;;;
3009;13789;;;;;;;;;;;;;;;;;;
4001;10689;;;;;;;;;;;;;;;;;;
4002;17123;;;;;;;;;;;;;;;;;;
4003;18553;;;;;;;;;;;;;;;;;;
4004;8500;;;;;;;;;;;;;;;;;;
4005;10343;;;;;;;;;;;;;;;;;;
4006;6283;;;;;;;;;;;;;;;;;;
4007;8437;;;;;;;;;;;;;;;;;;
4008;9501;;;;;;;;;;;;;;;;;;
4009;7364;;;;;;;;;;;;;;;;;;
4010;3980;;;;;;;;;;;;;;;;;;
4011;5464;;;;;;;;;;;;;;;;;;
5001;10578;;;;;;;;;;;;;;;;;;
5002;14802;;;;;;;;;;;;;;;;;;
5003;19187;;;;;;;;;;;;;;;;;;
5004;8047;;;;;;;;;;;;;;;;;;
5005;8573;;;;;;;;;;;;;;;;;;
5006;12972;;;;;;;;;;;;;;;;;;
5007;11297;;;;;;;;;;;;;;;;;;
5008;8268;;;;;;;;;;;;;;;;;;
5009;10709;;;;;;;;;;;;;;;;;;
5010;14362;;;;;;;;;;;;;;;;;;
5011;9163;;;;;;;;;;;;;;;;;;
5012;10067;;;;;;;;;;;;;;;;;;
5013;8389;;;;;;;;;;;;;;;;;;
5014;8583;;;;;;;;;;;;;;;;;;
5015;7885;;;;;;;;;;;;;;;;;;
5016;10370;;;;;;;;;;;;;;;;;;
5017;11512;;;;;;;;;;;;;;;;;;
5018;19171;;;;;;;;;;;;;;;;;;
5019;13933;;;;;;;;;;;;;;;;;;
5020;12840;;;;;;;;;;;;;;;;;;
5021;11924;;;;;;;;;;;;;;;;;;
5022;12847;;;;;;;;;;;;;;;;;;
5023;8812;;;;;;;;;;;;;;;;;;
5024;12384;;;;;;;;;;;;;;;;;;
5025;16875;;;;;;;;;;;;;;;;;;
5026;9683;;;;;;;;;;;;;;;;;;
5027;16768;;;;;;;;;;;;;;;;;;
5028;16717;;;;;;;;;;;;;;;;;;
5029;11374;;;;;;;;;;;;;;;;;;
5030;19051;;;;;;;;;;;;;;;;;;
5031;16347;;;;;;;;;;;;;;;;;;
5032;17661;;;;;;;;;;;;;;;;;;
5033;9580;;;;;;;;;;;;;;;;;;
5034;11171;;;;;;;;;;;;;;;;;;
5035;18180;;;;;;;;;;;;;;;;;;
5036;7934;;;;;;;;;;;;;;;;;;
5037;11277;;;;;;;;;;;;;;;;;;
5038;12549;;;;;;;;;;;;;;;;;;
6001;13195;;;;;;;;;;;;;;;;;;
6002;21426;;;;;;;;;;;;;;;;;;
6003;9608;;;;;;;;;;;;;;;;;;
6004;10598;;;;;;;;;;;;;;;;;;
6005;15418;;;;;;;;;;;;;;;;;;
6006;9798;;;;;;;;;;;;;;;;;;
6007;18728;;;;;;;;;;;;;;;;;;
6008;10336;;;;;;;;;;;;;;;;;;
6009;11452;;;;;;;;;;;;;;;;;;
6010;23026;;;;;;;;;;;;;;;;;;
7001;5236;;;;;;;;;;;;;;;;;;
7002;6099;;;;;;;;;;;;;;;;;;
7003;5699;;;;;;;;;;;;;;;;;;
7004;3910;;;;;;;;;;;;;;;;;;
7005;3163;;;;;;;;;;;;;;;;;;
7006;3810;;;;;;;;;;;;;;;;;;
7007;3621;;;;;;;;;;;;;;;;;;
7008;4737;;;;;;;;;;;;;;;;;;
7009;8706;;;;;;;;;;;;;;;;;;
7010;3146;;;;;;;;;;;;;;;;;;
7011;3654;;;;;;;;;;;;;;;;;;
7012;7308;;;;;;;;;;;;;;;;;;
7013;5691;;;;;;;;;;;;;;;;;;
7014;3179;;;;;;;;;;;;;;;;;;
7015;7620;;;;;;;;;;;;;;;;;;
7016;6942;;;;;;;;;;;;;;;;;;
7017;7286;;;;;;;;;;;;;;;;;;
7018;4436;;;;;;;;;;;;;;;;;;
7019;9545;;;;;;;;;;;;;;;;;;
7020;5259;;;;;;;;;;;;;;;;;;
7021;6334;;;;;;;;;;;;;;;;;;
7022;2256;;;;;;;;;;;;;;;;;;
7023;2795;;;;;;;;;;;;;;;;;;
7024;3396;;;;;;;;;;;;;;;;;;
7025;5050;;;;;;;;;;;;;;;;;;
7026;2642;;;;;;;;;;;;;;;;;;
7027;8706;;;;;;;;;;;;;;;;;;
7028;4944;;;;;;;;;;;;;;;;;;
7029;6677;;;;;;;;;;;;;;;;;;
7030;4354;;;;;;;;;;;;;;;;;;
7031;2817;;;;;;;;;;;;;;;;;;
7032;6043;;;;;;;;;;;;;;;;;;
7033;3505;;;;;;;;;;;;;;;;;;
7034;5941;;;;;;;;;;;;;;;;;;
7035;6773;;;;;;;;;;;;;;;;;;
7036;3799;;;;;;;;;;;;;;;;;;
7037;7442;;;;;;;;;;;;;;;;;;
7038;3088;;;;;;;;;;;;;;;;;;
7039;3338;;;;;;;;;;;;;;;;;;
7040;8769;;;;;;;;;;;;;;;;;;
7041;3852;;;;;;;;;;;;;;;;;;
7042;4021;;;;;;;;;;;;;;;;;;
7043;6191;;;;;;;;;;;;;;;;;;
7044;4371;;;;;;;;;;;;;;;;;;
7045;3822;;;;;;;;;;;;;;;;;;
7046;7001;;;;;;;;;;;;;;;;;;
7047;3812;;;;;;;;;;;;;;;;;;
7048;7154;;;;;;;;;;;;;;;;;;
7049;2397;;;;;;;;;;;;;;;;;;
7050;6505;;;;;;;;;;;;;;;;;;
7051;6386;;;;;;;;;;;;;;;;;;
7052;3717;;;;;;;;;;;;;;;;;;
7053;4096;;;;;;;;;;;;;;;;;;
7054;6770;;;;;;;;;;;;;;;;;;
7055;8517;;;;;;;;;;;;;;;;;;
7056;2484;;;;;;;;;;;;;;;;;;
7057;5392;;;;;;;;;;;;;;;;;;
7058;4211;;;;;;;;;;;;;;;;;;
7059;4195;;;;;;;;;;;;;;;;;;
7060;3186;;;;;;;;;;;;;;;;;;
7061;5818;;;;;;;;;;;;;;;;;;
7062;5116;;;;;;;;;;;;;;;;;;
7063;4936;;;;;;;;;;;;;;;;;;
7064;3441;;;;;;;;;;;;;;;;;;
7065;5986;;;;;;;;;;;;;;;;;;
7066;2899;;;;;;;;;;;;;;;;;;
7067;2915;;;;;;;;;;;;;;;;;;
7068;8964;;;;;;;;;;;;;;;;;;
7069;5196;;;;;;;;;;;;;;;;;;
7070;3860;;;;;;;;;;;;;;;;;;
7071;5258;;;;;;;;;;;;;;;;;;
7072;4474;;;;;;;;;;;;;;;;;;
7073;4891;;;;;;;;;;;;;;;;;;
7074;11675;;;;;;;;;;;;;;;;;;
7075;5122;;;;;;;;;;;;;;;;;;
7076;2916;;;;;;;;;;;;;;;;;;
7077;4545;;;;;;;;;;;;;;;;;;
7078;10834;;;;;;;;;;;;;;;;;;
7079;6152;;;;;;;;;;;;;;;;;;
7080;3814;;;;;;;;;;;;;;;;;;
7081;3515;;;;;;;;;;;;;;;;;;
7082;2272;;;;;;;;;;;;;;;;;;
7083;4814;;;;;;;;;;;;;;;;;;
7084;4043;;;;;;;;;;;;;;;;;;
7085;5522;;;;;;;;;;;;;;;;;;
7086;6875;;;;;;;;;;;;;;;;;;
7087;6136;;;;;;;;;;;;;;;;;;
7088;4800;;;;;;;;;;;;;;;;;;
7089;10493;;;;;;;;;;;;;;;;;;
7090;3604;;;;;;;;;;;;;;;;;;
7091;6091;;;;;;;;;;;;;;;;;;
7092;5072;;;;;;;;;;;;;;;;;;
7093;2460;;;;;;;;;;;;;;;;;;
7094;4542;;;;;;;;;;;;;;;;;;
7096;3455;;;;;;;;;;;;;;;;;;
7097;7380;;;;;;;;;;;;;;;;;;
7098;3774;;;;;;;;;;;;;;;;;;
7099;4761;;;;;;;;;;;;;;;;;;
7100;3060;;;;;;;;;;;;;;;;;;
7101;19002;;;;;;;;;;;;;;;;;;
7102;9355;;;;;;;;;;;;;;;;;;
7103;5028;;;;;;;;;;;;;;;;;;
7104;4793;;;;;;;;;;;;;;;;;;
7105;6770;;;;;;;;;;;;;;;;;;
7106;5223;;;;;;;;;;;;;;;;;;
7107;5807;;;;;;;;;;;;;;;;;;
7108;7051;;;;;;;;;;;;;;;;;;
7109;5308;;;;;;;;;;;;;;;;;;
7110;4158;;;;;;;;;;;;;;;;;;
7111;3409;;;;;;;;;;;;;;;;;;
7112;2480;;;;;;;;;;;;;;;;;;
7113;2154;;;;;;;;;;;;;;;;;;
7114;4762;;;;;;;;;;;;;;;;;;
7115;2392;;;;;;;;;;;;;;;;;;
7116;3219;;;;;;;;;;;;;;;;;;
7117;3455;;;;;;;;;;;;;;;;;;
7118;3411;;;;;;;;;;;;;;;;;;
7119;2372;;;;;;;;;;;;;;;;;;
8001;12636;;;;;;;;;;;;;;;;;;
8002;12458;;;;;;;;;;;;;;;;;;
8003;10686;;;;;;;;;;;;;;;;;;
8004;17146;;;;;;;;;;;;;;;;;;
8005;8822;;;;;;;;;;;;;;;;;;
8006;12060;;;;;;;;;;;;;;;;;;
8007;4067;;;;;;;;;;;;;;;;;;
8008;3325;;;;;;;;;;;;;;;;;;
8009;8957;;;;;;;;;;;;;;;;;;
8010;10379;;;;;;;;;;;;;;;;;;
8011;15029;;;;;;;;;;;;;;;;;;
8012;4094;;;;;;;;;;;;;;;;;;
8013;10709;;;;;;;;;;;;;;;;;;
8014;8327;;;;;;;;;;;;;;;;;;
8015;9024;;;;;;;;;;;;;;;;;;
8016;8998;;;;;;;;;;;;;;;;;;
8017;13235;;;;;;;;;;;;;;;;;;
8018;10389;;;;;;;;;;;;;;;;;;
8019;20302;;;;;;;;;;;;;;;;;;
8020;4214;;;;;;;;;;;;;;;;;;
8021;21664;;;;;;;;;;;;;;;;;;
8022;9114;;;;;;;;;;;;;;;;;;
8023;11677;;;;;;;;;;;;;;;;;;
8024;9802;;;;;;;;;;;;;;;;;;
8025;11108;;;;;;;;;;;;;;;;;;
8026;9698;;;;;;;;;;;;;;;;;;
8027;5810;;;;;;;;;;;;;;;;;;
8028;9151;;;;;;;;;;;;;;;;;;
8029;3871;;;;;;;;;;;;;;;;;;
8030;4549;;;;;;;;;;;;;;;;;;
8031;11145;;;;;;;;;;;;;;;;;;
8032;19292;;;;;;;;;;;;;;;;;;
8033;7354;;;;;;;;;;;;;;;;;;
8034;8818;;;;;;;;;;;;;;;;;;
8035;7599;;;;;;;;;;;;;;;;;;
8036;14255;;;;;;;;;;;;;;;;;;
8037;16842;;;;;;;;;;;;;;;;;;
8038;10749;;;;;;;;;;;;;;;;;;
8039;9920;;;;;;;;;;;;;;;;;;
8040;9867;;;;;;;;;;;;;;;;;;
8041;3647;;;;;;;;;;;;;;;;;;
8042;7225;;;;;;;;;;;;;;;;;;
8043;9588;;;;;;;;;;;;;;;;;;
8044;9716;;;;;;;;;;;;;;;;;;
8045;15541;;;;;;;;;;;;;;;;;;
8046;3526;;;;;;;;;;;;;;;;;;
8047;5441;;;;;;;;;;;;;;;;;;
8048;12770;;;;;;;;;;;;;;;;;;
8049;6345;;;;;;;;;;;;;;;;;;
8050;14818;;;;;;;;;;;;;;;;;;
8051;5268;;;;;;;;;;;;;;;;;;
8052;13332;;;;;;;;;;;;;;;;;;
8053;10101;;;;;;;;;;;;;;;;;;
8054;13164;;;;;;;;;;;;;;;;;;
8055;11510;;;;;;;;;;;;;;;;;;
8056;6964;;;;;;;;;;;;;;;;;;
8057;8109;;;;;;;;;;;;;;;;;;
8058;9041;;;;;;;;;;;;;;;;;;
8059;16238;;;;;;;;;;;;;;;;;;
8060;13278;;;;;;;;;;;;;;;;;;
8061;8656;;;;;;;;;;;;;;;;;;
8062;12027;;;;;;;;;;;;;;;;;;
8063;7644;;;;;;;;;;;;;;;;;;
8064;7946;;;;;;;;;;;;;;;;;;
8065;4299;;;;;;;;;;;;;;;;;;
8066;3651;;;;;;;;;;;;;;;;;;
8067;8625;;;;;;;;;;;;;;;;;;
9002;23199;;;;;;;;;;;;;;;;;;
9003;28688;;;;;;;;;;;;;;;;;;
9004;32609;;;;;;;;;;;;;;;;;;
9005;18066;;;;;;;;;;;;;;;;;;
9006;21057;;;;;;;;;;;;;;;;;;
9007;16126;;;;;;;;;;;;;;;;;;
9008;20483;;;;;;;;;;;;;;;;;;
9009;11928;;;;;;;;;;;;;;;;;;
9010;20177;;;;;;;;;;;;;;;;;;
9011;15276;;;;;;;;;;;;;;;;;;
9012;24632;;;;;;;;;;;;;;;;;;
9013;21713;;;;;;;;;;;;;;;;;;
9014;45013;;;;;;;;;;;;;;;;;;
9015;25495;;;;;;;;;;;;;;;;;;
9016;35143;;;;;;;;;;;;;;;;;;
9017;20553;;;;;;;;;;;;;;;;;;
10001;9368;;;;;;;;;;;;;;;;;;
10002;4610;;;;;;;;;;;;;;;;;;
10003;6359;;;;;;;;;;;;;;;;;;
10004;9972;;;;;;;;;;;;;;;;;;
10005;15886;;;;;;;;;;;;;;;;;;
10006;5999;;;;;;;;;;;;;;;;;;
10007;14132;;;;;;;;;;;;;;;;;;
10008;8059;;;;;;;;;;;;;;;;;;
10009;7350;;;;;;;;;;;;;;;;;;
10010;7511;;;;;;;;;;;;;;;;;;
10011;7442;;;;;;;;;;;;;;;;;;
10012;12960;;;;;;;;;;;;;;;;;;
10013;12665;;;;;;;;;;;;;;;;;;
10014;3305;;;;;;;;;;;;;;;;;;
10015;10230;;;;;;;;;;;;;;;;;;
10016;7949;;;;;;;;;;;;;;;;;;
10017;8407;;;;;;;;;;;;;;;;;;
10018;9813;;;;;;;;;;;;;;;;;;
10019;3905;;;;;;;;;;;;;;;;;;
10020;7508;;;;;;;;;;;;;;;;;;
10021;7926;;;;;;;;;;;;;;;;;;
10022;7788;;;;;;;;;;;;;;;;;;
10023;6746;;;;;;;;;;;;;;;;;;
10024;9182;;;;;;;;;;;;;;;;;;
10025;6975;;;;;;;;;;;;;;;;;;
10026;5175;;;;;;;;;;;;;;;;;;
10027;5695;;;;;;;;;;;;;;;;;;
10028;7736;;;;;;;;;;;;;;;;;;
10029;7137;;;;;;;;;;;;;;;;;;
10030;6438;;;;;;;;;;;;;;;;;;
10031;6490;;;;;;;;;;;;;;;;;;
10032;9010;;;;;;;;;;;;;;;;;;
10033;7345;;;;;;;;;;;;;;;;;;
10034;4981;;;;;;;;;;;;;;;;;;
10035;7607;;;;;;;;;;;;;;;;;;
10036;10428;;;;;;;;;;;;;;;;;;
10037;5300;;;;;;;;;;;;;;;;;;
10038;9629;;;;;;;;;;;;;;;;;;
10039;8337;;;;;;;;;;;;;;;;;;
11001;7360;;;;;;;;;;;;;;;;;;
11002;9837;;;;;;;;;;;;;;;;;;
11003;9084;;;;;;;;;;;;;;;;;;
11004;9376;;;;;;;;;;;;;;;;;;
11005;8983;;;;;;;;;;;;;;;;;;
11006;4884;;;;;;;;;;;;;;;;;;
11007;17449;;;;;;;;;;;;;;;;;;
11008;7539;;;;;;;;;;;;;;;;;;
11009;8163;;;;;;;;;;;;;;;;;;
11010;7811;;;;;;;;;;;;;;;;;;
11011;10688;;;;;;;;;;;;;;;;;;
11012;8773;;;;;;;;;;;;;;;;;;
11013;6791;;;;;;;;;;;;;;;;;;
11014;7540;;;;;;;;;;;;;;;;;;
11015;16956;;;;;;;;;;;;;;;;;;
11016;6792;;;;;;;;;;;;;;;;;;
11017;14464;;;;;;;;;;;;;;;;;;
11018;9544;;;;;;;;;;;;;;;;;;
11019;6995;;;;;;;;;;;;;;;;;;
11020;16945;;;;;;;;;;;;;;;;;;
11021;11618;;;;;;;;;;;;;;;;;;
11022;5947;;;;;;;;;;;;;;;;;;
11023;7419;;;;;;;;;;;;;;;;;;
11024;8134;;;;;;;;;;;;;;;;;;
11025;9278;;;;;;;;;;;;;;;;;;
11026;7129;;;;;;;;;;;;;;;;;;
11027;14464;;;;;;;;;;;;;;;;;;
11028;8847;;;;;;;;;;;;;;;;;;
11029;6459;;;;;;;;;;;;;;;;;;
11030;6901;;;;;;;;;;;;;;;;;;
11031;10428;;;;;;;;;;;;;;;;;;
11032;10359;;;;;;;;;;;;;;;;;;
11033;8505;;;;;;;;;;;;;;;;;;
11034;5212;;;;;;;;;;;;;;;;;;
11035;7998;;;;;;;;;;;;;;;;;;
11036;8897;;;;;;;;;;;;;;;;;;
11037;9452;;;;;;;;;;;;;;;;;;
11038;8554;;;;;;;;;;;;;;;;;;
11039;8074;;;;;;;;;;;;;;;;;;
11040;6213;;;;;;;;;;;;;;;;;;
11041;9935;;;;;;;;;;;;;;;;;;
11042;8043;;;;;;;;;;;;;;;;;;
11043;5720;;;;;;;;;;;;;;;;;;
11044;10667;;;;;;;;;;;;;;;;;;
11045;4709;;;;;;;;;;;;;;;;;;
