Clave;Nombre;Total;Sabe leer y escribir;No sabe leer y escribir
1001;Aguascalientes;563760;525234;37226
1002;Asientos;32307;28721;3463
1003;Calvillo;44264;39191;4906
1004;Cosío;10812;9753;995
1005;Jesús María;54334;48613;5544
1006;Pabellón de Arteaga;29572;26658;2766
1007;Rincón de Romos;35868;32016;3693
1008;San José de Gracia;6166;5574;572
1009;Tepezalá;14187;12653;1489
1010;El Llano;13150;11481;1609
1011;San Francisco de los Romo;16984;15072;1855
1996;No especificado;;;
1997;Otros estados;;;
2001;Ensenada;298617;269908;27538
2002;Mexicali;639071;593607;42557
2003;Tecate;61141;55817;4930
2004;Tijuana;965133;895365;64164
2005;Playas de Rosarito;46907;42914;3731
2996;No especificado;;;
2997;Otros estados;;;
3001;Comondú;56411;50904;5327
3002;Mulegé;40259;36325;3697
3003;La Paz;176157;164326;11396
3008;Los Cabos;90914;83734;6763
3009;Loreto;10474;9623;821
3996;No especificado;;;
3997;Otros estados;;;
4001;Calkiní;42050;33949;7970
4002;Campeche;193848;174634;18887
4003;Carmen;150018;132042;17553
4004;Champotón;61815;49892;11811
4005;Hecelchakán;22109;18326;3751
4006;Hopelchén;27068;21386;5598
4007;Palizada;7410;6213;1180
4008;Tenabo;7523;6176;1342
4009;Escárcega;43530;34532;8883
4010;Calakmul;19208;13784;5364
4011;Candelaria;32120;24440;7613
4996;No especificado;;;
4997;Otros estados;;;
5001;Abasolo;992;933;59
5002;Acuña;93911;86016;7466
5003;Allende;18318;16989;1263
5004;Arteaga;16662;14527;2033
5005;Candela;1462;1250;203
5006;Castaños;19852;18407;1403
5007;Cuatro Ciénegas;10583;9451;1122
5008;Escobedo;2463;2233;230
5009;Francisco I. Madero;40384;36411;3869
5010;Frontera;58726;54657;3928
5011;General Cepeda;10055;8636;1411
5012;Guerrero;1754;1541;211
5013;Hidalgo;1224;1050;173
5014;Jiménez;8445;7595;838
5015;Juárez;1387;1263;119
5016;Lamadrid;1561;1424;132
5017;Matamoros;80174;71985;7888
5018;Monclova;172185;162321;9391
5019;Morelos;6322;5826;476
5020;Múzquiz;55263;50592;4436
5021;Nadadores;5323;4899;416
5022;Nava;19696;18029;1609
5023;Ocampo;10334;9123;1031
5024;Parras;38008;33927;3967
5025;Piedras Negras;109663;101479;7643
5026;Progreso;3104;2771;314
5027;Ramos Arizpe;34479;31443;2855
5028;Sabinas;46516;43440;2957
5029;Sacramento;1780;1624;150
5030;Saltillo;509078;475606;31126
5031;San Buenaventura;17973;16752;1155
5032;San Juan de Sabinas;35910;33892;1916
5033;San Pedro;77378;68997;8250
5034;Sierra Mojada;5134;4657;469
5035;Torreón;469030;440969;26383
5036;Viesca;16528;14484;1982
5037;Villa Unión;5345;4814;487
5038;Zaragoza;11051;10068;947
5996;No especificado;;;
5997;Otros estados;;;
5998;Otros municipios;;;
6001;Armería;23640;19854;3726
6002;Colima;112813;104521;7983
6003;Comala;16485;14719;1722
