idedomun;gini
1001;0.425
1002;0.533
1003;0.465
1004;0.541
1005;0.469
1006;0.466
1007;0.486
1008;0.567
1009;0.53
1010;0.51
1011;0.473
2001;0.474
2002;0.444
2003;0.402
2004;0.434
2005;0.494
3001;0.541
3002;0.596
3003;0.458
3008;0.424
3009;0.588
4001;0.518
4002;0.465
4003;0.457
4004;0.45
4005;0.498
4006;0.469
4007;0.558
4008;0.452
4009;0.462
4010;0.398
4011;0.442
5001;0.394
5002;0.418
5003;0.42
5004;0.482
5005;0.473
5006;0.371
5007;0.482
5008;0.458
5009;0.379
5010;0.401
5011;0.4
5012;0.487
5013;0.443
5014;0.451
5015;0.583
5016;0.474
5017;0.39
5018;0.433
5019;0.506
5020;0.382
5021;0.412
5022;0.356
5023;0.496
5024;0.554
5025;0.398
5026;0.379
5027;0.44
5028;0.419
5029;0.427
5030;0.45
5031;0.386
5032;0.383
5033;0.429
5034;0.534
5035;0.493
5036;0.432
5037;0.58
5038;0.516
6001;0.483
6002;0.546
6003;0.574
6004;0.61
6005;0.469
6006;0.576
6007;0.407
6008;0.567
6009;0.408
6010;0.48
7001;0.395
7002;0.392
7003;0.447
7004;0.453
7005;0.329
7006;0.354
7007;0.365
7008;0.399
7009;0.415
7010;0.36
7011;0.374
7012;0.538
7013;0.504
7014;0.378
7015;0.473
7016;0.441
7017;0.472
7018;0.364
7019;0.544
7020;0.359
7021;0.424
7022;0.366
7023;0.356
7024;0.378
7025;0.382
7026;0.39
7027;0.449
7028;0.313
7029;0.405
7030;0.376
7031;0.393
7032;0.462
7033;0.348
7034;0.469
7035;0.456
7036;0.386
7037;0.495
7038;0.388
7039;0.322
7040;0.445
7041;0.343
7042;0.362
7043;0.471
7044;0.398
7045;0.398
7046;0.385
7047;0.407
7048;0.443
7049;0.313
7050;0.386
7051;0.446
7052;0.456
7053;0.445
7054;0.428
7055;0.472
7056;0.397
7057;0.454
7058;.
7059;0.487
7060;0.322
7061;0.498
7062;0.406
7063;0.401
7064;0.368
7065;0.496
7066;0.403
7067;0.402
7068;0.505
7069;0.401
7070;0.388
7071;0.443
7072;0.423
7073;0.42
7074;0.446
7075;0.626
7076;0.636
7077;0.427
7078;0.562
7079;0.408
7080;0.389
7081;0.458
7082;0.353
7083;0.478
7084;0.372
7085;0.372
7086;0.432
7087;0.454
7088;0.429
7089;0.514
7090;0.446
7091;0.44
7092;0.443
7093;0.347
7094;0.442
7096;0.39
7097;0.406
7098;0.334
7099;0.408
7100;0.387
7101;0.485
7102;0.538
7103;0.43
7104;0.389
7105;0.443
7106;0.451
7107;0.381
7108;0.456
7109;0.494
7110;0.35
7111;0.333
7112;0.379
7113;0.358
7114;0.372
7115;0.329
7116;0.35
7117;0.383
7118;0.292
7119;0.285
8001;0.562
8002;0.529
8003;0.645
8004;0.57
8005;0.619
8006;0.623
8007;0.582
8008;0.422
8009;0.636
8010;0.466
8011;0.523
8012;0.567
