Clave del municipio;Municipio;pobalimentaria2000
1001;Aguascalientes;7.6
1002;Asientos;22.1
1003;Calvillo;24.2
1004;Cosío;14.9
1005;Jesús María;15.9
1006;Pabellón de Arteaga;16.4
1007;Rincón de Romos;20.8
1008;San José de Gracia;23.8
1009;Tepezalá;21
1010;El Llano;17.8
1011;San Francisco de los Romo;7.2
2001;Ensenada;7.3
2002;Mexicali;3.6
2003;Tecate;3.3
2004;Tijuana;5.2
2005;Playas de Rosarito;6.4
3001;Comondú;15.8
3002;Mulegé;10.1
3003;La Paz;7.3
3008;Los Cabos;5.3
3009;Loreto;7.2
4001;Calkiní;45.6
4002;Campeche;18.1
4003;Carmen;26.9
4004;Champotón;48.9
4005;Hecelchakán;49.9
4006;Hopelchén;70.7
4007;Palizada;55.9
4008;Tenabo;44.5
4009;Escárcega;57.6
4010;Calakmul;83.6
4011;Candelaria;72.5
5001;Abasolo;4.5
5002;Acuña;13
5003;Allende;8.5
5004;Arteaga;16.4
5005;Candela;16.2
5006;Castaños;12.5
5007;Cuatro Ciénegas;9.4
5008;Escobedo;20.5
5009;Francisco I. Madero;10.6
5010;Frontera;10
5011;General Cepeda;19.9
5012;Guerrero;9.4
5013;Hidalgo;15
5014;Jiménez;8.4
5015;Juárez;19
5016;Lamadrid;11
5017;Matamoros;9.7
5018;Monclova;8.9
5019;Morelos;2.3
5020;Múzquiz;11
5021;Nadadores;4.8
5022;Nava;5.6
5023;Ocampo;9.8
5024;Parras;22.4
5025;Piedras Negras;6.5
5026;Progreso;6.7
5027;Ramos Arizpe;10.9
5028;Sabinas;6
5029;Sacramento;7.7
5030;Saltillo;8.5
5031;San Buenaventura;7.5
5032;San Juan de Sabinas;3.9
5033;San Pedro;19.3
5034;Sierra Mojada;6.5
5035;Torreón;6.8
5036;Viesca;21.9
5037;Villa Unión;9.9
5038;Zaragoza;4.3
6001;Armería;31
6002;Colima;17.9
6003;Comala;23.4
6004;Coquimatlán;21.1
6005;Cuauhtémoc;5.5
6006;Ixtlahuacán;26.2
6007;Manzanillo;12.1
6008;Minatitlán;21.2
6009;Tecomán;26.8
6010;Villa de Álvarez;13.8
7001;Acacoyagua;52.6
7002;Acala;40.2
7003;Acapetahua;45.6
7004;Altamirano;71.2
7005;Amatán;88.4
7006;Amatenango de la Frontera;49.8
7007;Amatenango del Valle;70.2
7008;Angel Albino Corzo;49
7009;Arriaga;33.8
7010;Bejucal de Ocampo;86.5
7011;Bella Vista;69
7012;Berriozábal;56.1
7013;Bochil;63.2
7014;El Bosque;78.7
7015;Cacahoatán;59.6
7016;Catazajá;53.8
7017;Cintalapa;52.9
7018;Coapilla;76.8
7019;Comitán de Domínguez;39.3
7020;La Concordia;55
7021;Copainalá;69.3
7022;Chalchihuitán;75.8
7023;Chamula;70.6
7024;Chanal;89.3
7025;Chapultenango;83.3
7026;Chenalhó;72.7
7027;Chiapa de Corzo;47.3
7028;Chiapilla;41.1
7029;Chicoasén;55.3
7030;Chicomuselo;57.4
7031;Chilón;86.7
7032;Escuintla;50.8
7033;Francisco León;89.3
7034;Frontera Comalapa;47.3
7035;Frontera Hidalgo;51
7036;La Grandeza;82.7
7037;Huehuetán;45.3
7038;Huixtán;84.9
7039;Huitiupán;91.3
7040;Huixtla;39.8
7041;La Independencia;75.1
7042;Ixhuatán;69.1
7043;Ixtacomitán;60.8
7044;Ixtapa;69.6
7045;Ixtapangajoya;81.9
7046;Jiquipilas;56
7047;Jitotol;64.7
7048;Juárez;53.6
7049;Larráinzar;87.3
7050;La Libertad;52.2
7051;Mapastepec;36.9
7052;Las Margaritas;70.8
7053;Mazapa de Madero;64.1
7054;Mazatán;36.8
7055;Metapa;39.9
7056;Mitontic;69.5
7057;Motozintla;69.8
7058;Nicolás Ruíz;.
7059;Ocosingo;75.9
7060;Ocotepec;88
7061;Ocozocoautla de Espinosa;63
7062;Ostuacán;71.6
7063;Osumacinta;59.9
7064;Oxchuc;84.2
7065;Palenque;61
7066;Pantelhó;70.3
7067;Pantepec;55.6
7068;Pichucalco;48.6
7069;Pijijiapan;42.7
7070;El Porvenir;85.3
7071;Villa Comaltitlán;52.2
7072;Pueblo Nuevo Solistahuacán;82.4
7073;Rayón;72.3
7074;Reforma;36.3
7075;Las Rosas;64.6
7076;Sabanilla;62.3
7077;Salto de Agua;78.7
7078;San Cristóbal de las Casas;37.6
7079;San Fernando;58.2
7080;Siltepec;72.2
7081;Simojovel;70.4
7082;Sitalá;87.2
7083;Socoltenango;51
7084;Solosuchiapa;76.2
7085;Soyaló;65.4
7086;Suchiapa;51.1
7087;Suchiate;38.9
7088;Sunuapa;70.5
7089;Tapachula;33.7
7090;Tapalapa;56.9
7091;Tapilula;60.5
7092;Tecpatán;67
7093;Tenejapa;87.9
7094;Teopisca;68.9
7096;Tila;79.6
7097;Tonalá;36.6
7098;Totolapa;70.6
7099;La Trinitaria;67.6
7100;Tumbalá;87.2
7101;Tuxtla Gutiérrez;20
7102;Tuxtla Chico;50
7103;Tuzantán;53.8
7104;Tzimol;53.3
7105;Unión Juárez;65
7106;Venustiano Carranza;44.8
7107;Villa Corzo;48.9
7108;Villaflores;47.6
7109;Yajalón;63.7
7110;San Lucas;69.6
7111;Zinacantán;66.9
7112;San Juan Cancuc;55.3
7113;Aldama;72.3
7114;Benemérito de las Américas;73.6
7115;Maravilla Tenejapa;86.3
7116;Marqués de Comillas;81.3
7117;Montecristo de Guerrero;64.5
7118;San Andrés Duraznal;86.7
7119;Santiago el Pinar;91.2
8001;Ahumada;6.6
8002;Aldama;6.7
8003;Allende;12.2
8004;Aquiles Serdán;4.6
8005;Ascensión;10.6
8006;Bachíniva;11.1
8007;Balleza;49.6
8008;Batopilas;63.4
8009;Bocoyna;34.3
8010;Buenaventura;4.8
8011;Camargo;11.8
8012;Carichí;39
8013;Casas Grandes;4.3
8014;Coronado;15.9
8015;Coyame del Sotol;6.1
8016;La Cruz;8.1
8017;Cuauhtémoc;8.1
8018;Cusihuiriachi;22
8019;Chihuahua;6.3
8020;Chínipas;60.5
8021;Delicias;3.1
8022;Dr. Belisario Domínguez;10.9
8023;Galeana;3.9
8024;Santa Isabel;11.3
8025;Gómez Farías;5
8026;Gran Morelos;16.2
8027;Guachochi;50.7
8028;Guadalupe;3.6
8029;Guadalupe y Calvo;57.2
8030;Guazapares;62.6
8031;Guerrero;13
8032;Hidalgo del Parral;10.2
8033;Huejotitán;30.4
8034;Ignacio Zaragoza;3.3
8035;Janos;8.3
8036;Jiménez;16.5
8037;Juárez;4.4
8038;Julimes;4.7
8039;López;9.3
8040;Madera;13.2
8041;Maguarichi;52
8042;Manuel Benavides;5.9
8043;Matachí;23.4
8044;Matamoros;15.3
8045;Meoqui;5.7
8046;Morelos;53.5
8047;Moris;59.2
8048;Namiquipa;7.4
8049;Nonoava;38.2
8050;Nuevo Casas Grandes;10.7
8051;Ocampo;38.4
8052;Ojinaga;4
8053;Praxedis G. Guerrero;4.5
8054;Riva Palacio;7
8055;Rosales;3.7
8056;Rosario;21.1
8057;San Francisco de Borja;18.5
8058;San Francisco de Conchos;7.1
8059;San Francisco del Oro;7.6
8060;Santa Bárbara;6.9
8061;Satevó;10.9
8062;Saucillo;5.3
8063;Temósachi;25.2
8064;El Tule;21.7
8065;Urique;53.8
8066;Uruachi;56.8
8067;Valle de Zaragoza;13.9
9002;Azcapotzalco;2.7
9003;Coyoacán;3.5
9004;Cuajimalpa de Morelos;6.1
9005;Gustavo A. Madero;5.8
9006;Iztacalco;5.2
9007;Iztapalapa;9.2
9008;La Magdalena Contreras;6.7
9009;Milpa Alta;14.4
9010;Álvaro Obregón;4.9
9011;Tláhuac;5.8
9012;Tlalpan;5.2
9013;Xochimilco;7.7
9014;Benito Juárez;2.2
9015;Cuauhtémoc;3
9016;Miguel Hidalgo;3.2
9017;Venustiano Carranza;4.4
10001;Canatlán;24.5
10002;Canelas;56.6
10003;Coneto de Comonfort;35.7
10004;Cuencamé;18
10005;Durango;17.8
10006;General Simón Bolívar;38.3
10007;Gómez Palacio;8.2
10008;Guadalupe Victoria;15.3
10009;Guanaceví;23.4
10010;Hidalgo;21.9
10011;Indé;17.7
10012;Lerdo;12.9
10013;Mapimí;16.9
10014;Mezquital;69
10015;Nazas;21
10016;Nombre de Dios;27
10017;Ocampo;13.8
10018;El Oro;15.3
10019;Otáez;63.3
10020;Pánuco de Coronado;15.9
10021;Peñón Blanco;18.7
10022;Poanas;23.5
10023;Pueblo Nuevo;49.8
10024;Rodeo;25.6
10025;San Bernardo;19.5
10026;San Dimas;47.2
10027;San Juan de Guadalupe;44.1
10028;San Juan del Río;25.2
10029;San Luis del Cordero;26
10030;San Pedro del Gallo;26.6
10031;Santa Clara;30.6
10032;Santiago Papasquiaro;27.9
10033;Súchil;30.9
10034;Tamazula;61.3
10035;Tepehuanes;28.3
10036;Tlahualilo;13
10037;Topia;50.8
10038;Vicente Guerrero;16
10039;Nuevo Ideal;26.3
11001;Abasolo;42.6
11002;Acámbaro;27.2
11003;San Miguel de Allende;41.2
11004;Apaseo el Alto;32.3
11005;Apaseo el Grande;30.3
11006;Atarjea;72.3
11007;Celaya;17.8
11008;Manuel Doblado;33.1
11009;Comonfort;46.3
11010;Coroneo;41.5
11011;Cortazar;22.7
11012;Cuerámaro;36.4
11013;Doctor Mora;55.9
11014;Dolores Hidalgo Cuna de la Independencia Nal.;44.3
11015;Guanajuato;17.3
11016;Huanímaro;40
11017;Irapuato;23.5
11018;Jaral del Progreso;26.7
11019;Jerécuaro;51.8
11020;León;13.6
11021;Moroleón;12.1
11022;Ocampo;48.8
11023;Pénjamo;40.6
11024;Pueblo Nuevo;31.4
11025;Purísima del Rincón;19.1
11026;Romita;44.4
11027;Salamanca;20
11028;Salvatierra;29.5
11029;San Diego de la Unión;57.6
11030;San Felipe;52.2
11031;San Francisco del Rincón;19.7
11032;San José Iturbide;32.5
11033;San Luis de la Paz;49
11034;Santa Catarina;52.6
11035;Santa Cruz de Juventino Rosas;37.7
11036;Santiago Maravatío;31.7
11037;Silao;30.4
11038;Tarandacuao;28.9
11039;Tarimoro;31.6
11040;Tierra Blanca;60.7
11041;Uriangato;17.1
11042;Valle de Santiago;34.5
