Clave del municipio;Municipio;pobalimentaria
1001;Aguascalientes;11.8
1002;Asientos;22
1003;Calvillo;19.3
1004;Cosío;14.3
1005;Jesús María;15.1
1006;Pabellón de Arteaga;15.9
1007;Rincón de Romos;23.4
1008;San José de Gracia;19.2
1009;Tepezalá;18.7
1010;El Llano;19.3
1011;San Francisco de los Romo;12.7
2001;Ensenada;11.2
2002;Mexicali;7
2003;Tecate;7.2
2004;Tijuana;11.2
2005;Playas de Rosarito;11.7
3001;Comondú;10.2
3002;Mulegé;5.8
3003;La Paz;6.1
3008;Los Cabos;9.6
3009;Loreto;4.8
4001;Calkiní;21.4
4002;Campeche;8.9
4003;Carmen;15.9
4004;Champotón;27
4005;Hecelchakán;20.5
4006;Hopelchén;41.8
4007;Palizada;26.3
4008;Tenabo;24.3
4009;Escárcega;42
4010;Calakmul;58.2
4011;Candelaria;47.1
5001;Abasolo;4.4
5002;Acuña;9.9
5003;Allende;10.6
5004;Arteaga;11
5005;Candela;11.1
5006;Castaños;10.5
5007;Cuatro Ciénegas;11.9
5008;Escobedo;11.8
5009;Francisco I. Madero;11.4
5010;Frontera;11.7
5011;General Cepeda;16.1
5012;Guerrero;8.6
5013;Hidalgo;12.8
5014;Jiménez;12.3
5015;Juárez;10.7
5016;Lamadrid;6.6
5017;Matamoros;12.6
5018;Monclova;6.8
5019;Morelos;4.8
5020;Múzquiz;12.5
5021;Nadadores;4.8
5022;Nava;12
5023;Ocampo;12.2
5024;Parras;18.1
5025;Piedras Negras;10
5026;Progreso;7.3
5027;Ramos Arizpe;9.4
5028;Sabinas;9.5
5029;Sacramento;5.6
5030;Saltillo;7.2
5031;San Buenaventura;6.3
5032;San Juan de Sabinas;6.7
5033;San Pedro;20.2
5034;Sierra Mojada;5.6
5035;Torreón;7.8
5036;Viesca;17.4
5037;Villa Unión;6.9
5038;Zaragoza;5.2
6001;Armería;27.8
6002;Colima;8.9
6003;Comala;11.1
6004;Coquimatlán;9.4
6005;Cuauhtémoc;3.3
6006;Ixtlahuacán;13.7
6007;Manzanillo;13.2
6008;Minatitlán;10.6
6009;Tecomán;26.9
6010;Villa de Álvarez;5.8
7001;Acacoyagua;54.7
7002;Acala;46.1
7003;Acapetahua;41
7004;Altamirano;71.8
7005;Amatán;73.7
7006;Amatenango de la Frontera;55.4
7007;Amatenango del Valle;72.9
7008;Angel Albino Corzo;57
7009;Arriaga;30.4
7010;Bejucal de Ocampo;74
7011;Bella Vista;63.5
7012;Berriozábal;42.9
7013;Bochil;58.4
7014;El Bosque;73.3
7015;Cacahoatán;38.1
7016;Catazajá;40.1
7017;Cintalapa;40
7018;Coapilla;63.3
7019;Comitán de Domínguez;30.8
7020;La Concordia;64
7021;Copainalá;50.2
7022;Chalchihuitán;83.2
7023;Chamula;73.9
7024;Chanal;86.4
7025;Chapultenango;66.4
7026;Chenalhó;79
7027;Chiapa de Corzo;34.4
7028;Chiapilla;48.1
7029;Chicoasén;36.9
7030;Chicomuselo;61.7
7031;Chilón;80.9
7032;Escuintla;50.3
7033;Francisco León;74.4
7034;Frontera Comalapa;43.7
7035;Frontera Hidalgo;40.3
7036;La Grandeza;71.1
7037;Huehuetán;37.8
7038;Huixtán;78.1
7039;Huitiupán;71.2
7040;Huixtla;38.8
7041;La Independencia;60.8
7042;Ixhuatán;66.9
7043;Ixtacomitán;52.2
7044;Ixtapa;67
7045;Ixtapangajoya;60
7046;Jiquipilas;42.8
7047;Jitotol;66.9
7048;Juárez;37.1
7049;Larráinzar;81.3
7050;La Libertad;36.1
7051;Mapastepec;39.8
7052;Las Margaritas;69.3
7053;Mazapa de Madero;62
7054;Mazatán;34.8
7055;Metapa;32.6
7056;Mitontic;80.2
7057;Motozintla;58.7
7058;Nicolás Ruíz;66
7059;Ocosingo;66.5
7060;Ocotepec;78.5
7061;Ocozocoautla de Espinosa;51.9
7062;Ostuacán;55.7
7063;Osumacinta;41
7064;Oxchuc;78.4
7065;Palenque;52.8
7066;Pantelhó;78.7
7067;Pantepec;67.5
7068;Pichucalco;30.9
7069;Pijijiapan;46.6
7070;El Porvenir;72.9
7071;Villa Comaltitlán;48.9
7072;Pueblo Nuevo Solistahuacán;69.7
7073;Rayón;64.5
7074;Reforma;24.5
7075;Las Rosas;66.8
7076;Sabanilla;70
7077;Salto de Agua;69.2
7078;San Cristóbal de las Casas;28.3
7079;San Fernando;45.1
7080;Siltepec;72.3
7081;Simojovel;74.2
7082;Sitalá;80.9
7083;Socoltenango;44.8
7084;Solosuchiapa;60.8
7085;Soyaló;55.6
7086;Suchiapa;36.8
7087;Suchiate;41.8
7088;Sunuapa;55.4
7089;Tapachula;33
7090;Tapalapa;57.3
7091;Tapilula;47.6
7092;Tecpatán;55.4
7093;Tenejapa;79
7094;Teopisca;67.7
7096;Tila;74.7
7097;Tonalá;39.4
7098;Totolapa;70.9
7099;La Trinitaria;55.8
7100;Tumbalá;75.8
7101;Tuxtla Gutiérrez;13.1
7102;Tuxtla Chico;36.1
7103;Tuzantán;48.2
7104;Tzimol;41.6
7105;Unión Juárez;45
7106;Venustiano Carranza;53.7
7107;Villa Corzo;49.2
7108;Villaflores;41.9
7109;Yajalón;55.3
7110;San Lucas;68.9
7111;Zinacantán;71
7112;San Juan Cancuc;83.7
7113;Aldama;83.2
7114;Benemérito de las Américas;60.9
7115;Maravilla Tenejapa;82.4
7116;Marqués de Comillas;75.9
7117;Montecristo de Guerrero;70.6
7118;San Andrés Duraznal;76.2
7119;Santiago el Pinar;77.1
