Clave;edu15delay
1001;0.322011048
1002;0.503589744
1003;0.573645334
1004;0.436668713
1005;0.437586641
1006;0.395200408
1007;0.401168787
1008;0.44622384
1009;0.522412708
1010;0.505215493
1011;0.453294002
1996;.
1997;.
2001;0.400069671
2002;0.321595533
2003;0.400432505
2004;0.363558776
2005;0.421424714
2996;.
2997;.
3001;0.448793927
3002;0.483329301
3003;0.292390078
3008;0.354078265
3009;0.412963274
3996;.
3997;.
4001;0.461477967
4002;0.342272403
4003;0.388936028
4004;0.531764912
4005;0.452510917
4006;0.588730362
4007;0.514776632
4008;0.489880274
4009;0.540756186
4010;0.59620713
4011;0.602056575
4996;.
4997;.
5001;0.481257557
5002;0.425679782
5003;0.404463661
5004;0.559469117
5005;0.559753277
5006;0.363636364
5007;0.465844718
5008;0.518572118
5009;0.447307833
5010;0.347553801
5011;0.549292367
5012;0.56241033
5013;0.494371482
5014;0.670829098
5015;0.553618134
5016;0.465682657
5017;0.43645812
5018;0.296096731
5019;0.405695862
5020;0.431182133
5021;0.393900344
5022;0.421852192
5023;0.533595232
5024;0.403868569
5025;0.358390105
5026;0.596662597
5027;0.318587058
5028;0.369302044
5029;0.431966726
5030;0.278907489
5031;0.362199826
5032;0.382080944
5033;0.474506579
5034;0.435755479
5035;0.300218265
5036;0.564692753
5037;0.454923717
5038;0.512167895
5996;.
5997;.
5998;.
6001;0.586574717
6002;0.336262762
6003;0.489290941
6004;0.524018725
6005;0.45754261
6006;0.584890966
6007;0.378694856
6008;0.506687243
6009;0.550867885
6010;0.246890119
6996;.
6997;.
7001;0.652603397
7002;0.632607931
7003;0.635218468
7004;0.750642029
7005;0.748883841
7006;0.726943171
7007;0.870099473
7008;0.684895064
7009;0.540941442
7010;0.773786196
7011;0.706374865
7012;0.649936537
7013;0.628189019
7014;0.773310522
7015;0.537242091
7016;0.62589696
7017;0.581410899
7018;0.708106075
7019;0.566983281
7020;0.703132481
7021;0.617753752
7022;0.884887288
7023;0.943514789
7024;0.768194574
7025;0.592249731
7026;0.879295511
7027;0.527006327
7028;0.740478067
7029;0.579619727
7030;0.742765748
7031;0.749654794
7032;0.624857764
7033;0.750549719
7034;0.666397868
7035;0.560574473
7036;0.703110273
7037;0.544619711
7038;0.79258788
7039;0.749223717
7040;0.523893654
7041;0.82602276
7042;0.68159441
7043;0.561580746
7044;0.692213878
7045;0.719172414
7046;0.602978133
7047;0.669283048
7048;0.582634001
7049;0.798867127
7050;0.603550296
7051;0.65016018
7052;0.780173786
7053;0.751503837
7054;0.579090218
7055;0.522806005
7056;0.910880829
7057;0.683996732
7058;0.79692429
7059;0.700109093
7060;0.804035945
7061;0.651101338
7062;0.677005154
7063;0.604048583
7064;0.686501218
7065;0.594204955
7066;0.865555354
7067;0.734888002
7068;0.552292782
7069;0.62901726
7070;0.674362245
7071;0.643804348
7072;0.773381909
7073;0.654582636
7074;0.476836364
7075;0.780413114
7076;0.699371234
7077;0.683193325
7078;0.482192504
7079;0.688506589
7080;0.728106719
7081;0.757051455
7082;0.864982709
7083;0.75002112
7084;0.65697446
7085;0.670685279
7086;0.537665968
7087;0.635364635
7088;0.623815968
7089;0.447596124
7090;0.726604795
7091;0.545397621
7092;0.700551226
7093;0.832134187
7094;0.822288759
7096;0.697894737
7097;0.529668798
7098;0.712687455
7099;0.792326333
7100;0.704519241
7101;0.327651032
7102;0.497696383
7103;0.612856685
7104;0.751659349
7105;0.546084618
7106;0.689820154
7107;0.632962728
7108;0.58131676
7109;0.657378207
7110;0.778620526
7111;0.917079444
7112;0.838103517
7113;0.867748479
7114;0.707141448
7115;0.85486834
7116;0.780305723
7117;0.752385496
7118;0.86632083
7119;0.786130536
7996;.
7997;.
7998;.
8001;0.631137881
8002;0.493674138
8003;0.500236407
8004;0.416523008
8005;0.640405139
8006;0.722937001
8007;0.77178165
8008;0.853608482
8009;0.605714286
8010;0.600828545
8011;0.405352574
8012;0.818880164
8013;0.578563715
8014;0.5455594
8015;0.698476343
8016;0.487890488
8017;0.493655124
8018;0.783236262
8019;0.285996951
8020;0.682089282
8021;0.369970431
8022;0.724507284
8023;0.565134621
8024;0.63920357
8025;0.576897246
8026;0.709856916
8027;0.699735154
8028;0.636513545
8029;0.754618462
8030;0.74886799
8031;0.638138939
8032;0.376154753
8033;0.68
8034;0.66279756
8035;0.74608282
8036;0.410495002
8037;0.393246867
8038;0.624622978
8039;0.487333333
8040;0.605108443
8041;0.760886778
8042;0.757142857
8043;0.633130963
8044;0.520910209
8045;0.522446197
8046;0.770057439
8047;0.736753574
8048;0.642420575
8049;0.710409472
8050;0.432707374
8051;0.668160561
8052;0.513114025
8053;0.679581796
8054;0.869755912
8055;0.550113037
8056;0.748669426
8057;0.701047987
8058;0.52919708
8059;0.414716662
8060;0.419934426
8061;0.683445587
8062;0.502130435
8063;0.717207648
8064;0.725142045
8065;0.7604053
8066;0.764268889
8067;0.683615819
8996;.
8997;.
8998;.
9002;0.248314912
9003;0.203329537
9004;0.281218981
9005;0.280759129
9006;0.262401873
9007;0.315795705
9008;0.313206181
9009;0.339085922
9010;0.278023289
9011;0.292114654
9012;0.264109447
9013;0.288465086
9014;0.118035105
9015;0.223811709
9016;0.194375563
9017;0.256455381
9996;.
9997;.
10001;0.474558067
10002;0.745279526
10003;0.619209809
10004;0.526905733
10005;0.327442626
10006;0.643656207
10007;0.375986491
10008;0.499792669
10009;0.681580065
10010;0.554140127
10011;0.638346437
10012;0.413215115
10013;0.583232883
10014;0.725927105
10015;0.557501729
10016;0.553905348
10017;0.520991829
10018;0.549173505
10019;0.685202066
10020;0.486682243
10021;0.52073922
10022;0.568466869
10023;0.511960616
10024;0.512186941
10025;0.690310078
10026;0.568386634
10027;0.63683178
10028;0.568663037
10029;0.63630363
10030;0.581673307
10031;0.5583964
10032;0.558715355
10033;0.566588536
10034;0.689920117
10035;0.693503014
10036;0.499836889
10037;0.649069435
10038;0.480589383
10039;0.606742864
10996;.
10997;.
10998;.
11001;0.64239993
11002;0.53956216
11003;0.554532652
11004;0.581360167
11005;0.528709762
