idedomuny;NomMun;pob_total;pob_hombres;pob_mujeres
100180;AGUASCALIENTES;359454;174606;184848
100280;ASIENTOS;24395;12402;11993
100380;CALVILLO;37099;18310;18789
100480;COSIO;8671;4388;4283
100580;JESUS MARIA;25147;12677;12470
100680;PABELLON DE ARTEAGA;19836;9864;9972
100780;RINCON DE ROMOS;26995;13631;13364
100880;SAN JOSE DE GRACIA;5700;2843;2857
100980;TEPEZALA;12142;6062;6080
200180;ENSENADA;175425;87839;87586
200280;MEXICALI;510664;252851;257813
200380;TECATE;30540;15176;15364
200480;TIJUANA;461257;224861;236396
300180;COMONDU;57729;29424;28305
300280;MULEGE;26983;13706;13277
300380;PAZ LA;130427;66420;64007
400180;CALKINI;32084;15896;16188
400280;CAMPECHE;151805;74297;77508
400380;CARMEN;144684;72313;72371
400480;CHAMPOTON;41077;21262;19815
400580;HECELCHAKAN;14760;7441;7319
400680;HOPELCHEN;23165;12038;11127
400780;PALIZADA;8096;4050;4046
400880;TENABO;4882;2526;2356
500180;ABASOLO;1195;580;615
500280;ACUÑA;41948;20601;21347
500380;ALLENDE;15864;7799;8065
500480;ARTEAGA;18345;9470;8875
500580;CANDELA;2093;1039;1054
500680;CASTAÑOS;15690;8020;7670
500780;CUATROCIENEGAS;10850;5571;5279
500880;ESCOBEDO;2533;1296;1237
500980;FRANCISCO I MADERO;47511;23955;23556
501080;FRONTERA;35179;17540;17639
501180;GENERAL CEPEDA;13568;7229;6339
501280;GUERRERO;2316;1221;1095
501380;HIDALGO;751;423;328
501480;JIMENEZ;8636;4567;4069
501580;JUAREZ;1897;984;913
501680;LAMADRID;1605;825;780
501780;MATAMOROS;71771;36495;35276
501880;MONCLOVA;119609;59797;59812
501980;MORELOS;6004;3022;2982
502080;MUZQUIZ;53906;27059;26847
502180;NADADORES;4719;2428;2291
502280;NAVA;8684;4678;4006
502380;OCAMPO;9000;4739;4261
502480;PARRAS;39677;19984;19693
502580;PIEDRAS NEGRAS;80290;38997;41293
502680;PROGRESO;4674;2367;2307
502780;RAMOS ARIZPE;23092;11880;11212
502880;SABINAS;39515;19484;20031
502980;SACRAMENTO;1373;699;674
503080;SALTILLO;321758;159342;162416
503180;SAN BUENAVENTURA;15193;7635;7558
503280;SAN JUAN DE SABINAS;37127;18117;19010
503380;SAN PEDRO;93410;47413;45997
503480;SIERRA MOJADA;7058;3690;3368
